Vin ,N10:d Vr 0.8  (A),N10:d Vr 1  (A),N10:d Vr 1.2  (A),N10:d Vr 1.4  (A),N10:d Vr 1.6  (A),N10:d Vr 1.8  (A)
1.680,4.176E-12,4.185E-12,6.143E-12,390.0E-12,40.91E-9,18.38E-9
1.690,4.168E-12,4.175E-12,5.626E-12,302.2E-12,34.14E-9,22.73E-9
1.700,4.160E-12,4.165E-12,5.242E-12,234.2E-12,28.15E-9,27.87E-9
1.710,4.152E-12,4.156E-12,4.960E-12,181.6E-12,22.97E-9,33.83E-9
1.720,4.144E-12,4.148E-12,4.753E-12,140.9E-12,18.57E-9,40.57E-9
1.730,4.137E-12,4.139E-12,4.597E-12,109.4E-12,14.90E-9,48.03E-9
1.740,4.129E-12,4.131E-12,4.479E-12,85.10E-12,11.87E-9,56.00E-9
1.750,4.121E-12,4.122E-12,4.387E-12,66.34E-12,9.407E-9,64.19E-9
1.760,4.113E-12,4.114E-12,4.315E-12,51.86E-12,7.420E-9,72.17E-9
1.770,4.105E-12,4.106E-12,4.259E-12,40.70E-12,5.829E-9,79.38E-9
1.780,4.098E-12,4.098E-12,4.215E-12,32.11E-12,4.564E-9,85.16E-9
1.790,4.090E-12,4.090E-12,4.179E-12,25.49E-12,3.564E-9,88.91E-9
1.800,4.082E-12,4.082E-12,4.150E-12,20.39E-12,2.777E-9,90.21E-9
1.810,4.074E-12,4.074E-12,4.125E-12,16.48E-12,2.159E-9,88.91E-9
1.820,4.066E-12,4.067E-12,4.105E-12,13.47E-12,1.676E-9,85.16E-9
1.830,4.059E-12,4.059E-12,4.088E-12,11.17E-12,1.300E-9,79.36E-9
1.840,4.051E-12,4.051E-12,4.073E-12,9.400E-12,1.007E-9,72.13E-9
1.850,4.043E-12,4.043E-12,4.060E-12,8.050E-12,779.4E-12,64.11E-9
1.860,4.035E-12,4.035E-12,4.048E-12,7.020E-12,602.8E-12,55.87E-9
1.870,4.027E-12,4.027E-12,4.037E-12,6.239E-12,466.1E-12,47.86E-9
1.880,4.019E-12,4.019E-12,4.027E-12,5.652E-12,360.2E-12,40.38E-9
1.890,4.012E-12,4.012E-12,4.017E-12,5.218E-12,278.4E-12,33.60E-9
1.900,4.004E-12,4.004E-12,4.008E-12,4.902E-12,215.2E-12,27.63E-9
1.910,3.996E-12,3.996E-12,3.999E-12,4.672E-12,166.4E-12,22.48E-9
1.920,3.988E-12,3.988E-12,3.991E-12,4.500E-12,128.8E-12,18.12E-9
1.930,3.980E-12,3.980E-12,3.982E-12,4.368E-12,99.83E-12,14.50E-9
1.940,3.973E-12,3.973E-12,3.974E-12,4.267E-12,77.49E-12,11.52E-9
1.950,3.965E-12,3.965E-12,3.966E-12,4.188E-12,60.30E-12,9.103E-9
1.960,3.957E-12,3.957E-12,3.958E-12,4.126E-12,47.07E-12,7.160E-9
1.970,3.949E-12,3.949E-12,3.950E-12,4.078E-12,36.90E-12,5.610E-9
1.980,3.941E-12,3.941E-12,3.942E-12,4.039E-12,29.08E-12,4.382E-9
1.990,3.933E-12,3.933E-12,3.934E-12,4.007E-12,23.08E-12,3.413E-9
2.000,3.926E-12,3.926E-12,3.926E-12,3.982E-12,18.47E-12,2.653E-9
2.010,3.918E-12,3.918E-12,3.918E-12,3.960E-12,14.94E-12,2.059E-9
2.020,3.910E-12,3.910E-12,3.910E-12,3.942E-12,12.23E-12,1.595E-9
2.030,3.902E-12,3.902E-12,3.902E-12,3.927E-12,10.16E-12,1.235E-9
2.040,3.895E-12,3.895E-12,3.895E-12,3.913E-12,8.579E-12,955.2E-12
2.050,3.887E-12,3.887E-12,3.887E-12,3.901E-12,7.375E-12,738.4E-12
2.060,3.879E-12,3.879E-12,3.879E-12,3.890E-12,6.462E-12,570.8E-12
2.070,3.871E-12,3.871E-12,3.871E-12,3.880E-12,5.776E-12,441.2E-12
2.080,3.864E-12,3.864E-12,3.864E-12,3.870E-12,5.269E-12,341.2E-12
